© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Workspace	My Projects
Project	AIH_WGCNA
Analysis	top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Date	Thu May 09 22:09:57 PDT 2019
Analysis ID	17791075

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Axonal Guidance Signaling	5.13E-01	NaN	2.00E-03	KEL,	
Xenobiotic Metabolism Signaling	7.03E-01	NaN	3.30E-03	FTL,	
Sirtuin Signaling Pathway	7.17E-01	NaN	3.42E-03	SLC2A1,	
AMPK Signaling	8.19E-01	NaN	4.42E-03	SLC2A1,	
NRF2-mediated Oxidative Stress Response	8.56E-01	NaN	4.85E-03	FTL,	
Acute Phase Response Signaling	9.13E-01	NaN	5.59E-03	FTL,	
Iron homeostasis signaling pathway	1.02E00	NaN	7.30E-03	FTL,	
HIF1α Signaling	1.05E00	NaN	7.75E-03	SLC2A1,	
Antioxidant Action of Vitamin C	1.11E00	NaN	9.01E-03	SLC2A1,	
TR/RXR Activation	1.15E00	NaN	1.00E-02	SLC2A1,	
IL-7 Signaling Pathway	1.19E00	NaN	1.08E-02	SLC2A1,	
Renal Cell Carcinoma Signaling	1.19E00	NaN	1.08E-02	SLC2A1,	
Autophagy	1.36E00	NaN	1.64E-02	CTSB,	
SPINK1 Pancreatic Cancer Pathway	1.37E00	NaN	1.67E-02	CTSB,	
PFKFB4 Signaling Pathway	1.48E00	NaN	2.17E-02	HK1,	
BAG2 Signaling Pathway	1.51E00	NaN	2.33E-02	CTSB,	
Inflammasome pathway	1.84E00	NaN	5.00E-02	CTSB,	
Vitamin-C Transport	1.94E00	NaN	6.25E-02	SLC2A1,	
Glucose and Glucose-1-phosphate Degradation	2.1E00	NaN	9.09E-02	HK1,	
UDP-N-acetyl-D-galactosamine Biosynthesis II	2.1E00	NaN	9.09E-02	HK1,	
GDP-glucose Biosynthesis	2.14E00	NaN	1.00E-01	HK1,	
Phagosome Maturation	2.3E00	NaN	1.35E-02	RILP,CTSB	
Trehalose Degradation II (Trehalase)	2.44E00	NaN	2.00E-01	HK1,	

Upstream Regulators for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Analysis	ID	Upstream Regulator	Molecule Type	Predicted Activation State	Activation z-score	Notes	Bias Term	Bias-corrected z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
IL3	cytokine	1	 	 	0.000	5.81E-03	3.53E-02	IL3	 	2 (1)	1	GATA3	 	 	CSF1,CSF2,CSF2RB,EIF4EBP1,SLC2A1,SRC	ADP,BAD	 	 	 	 	
collagen	group	1	 	 	0.000	5.87E-03	1.56E-02	collagen	 	1 (1)	1	CSF2,FLNA,TGFB1	 	 	 	 	 	 	 	 	
APOC2	transporter	2	 	 	0.000	6.48E-03	3.33E-02	APOC2,LPL,MAP2K1	 	2 (3)	2	 	TGFB1	 	 	 	 	 	 	 	
FN1	enzyme	1	 	 	0.000	6.48E-03	3.64E-02	FN1	 	2 (1)	1	CSF1,EPAS1,methylamine,NOX4,VHL	 	 	CSF2,SKP2	FLNA,TCR	 	 	 	 	
FTH1	enzyme	1	 	 	0.000	6.60E-03	1.65E-02	FTH1	 	1 (1)	1	ABCB7,caffeic acid phenethyl ester,CARM1,etoposide,ferric ammonium citrate,ferric chloride,hemin,PI3K (family),PRMT1,VHL	ACO1,FTMT,IREB2,TGFB1	 	 	 	 	 	 	 	
HBP1	transcription regulator	1	 	 	0.000	6.60E-03	2.13E-02	HBP1	 	1 (1)	1	 	 	 	 	 	 	 	 	 	
IREB2	translation regulator	1	 	 	0.000	6.60E-03	2.31E-02	IREB2	 	1 (1)	1	N-(3-(aminomethyl)benzyl)acetamidine	ferric ammonium citrate,VHL	 	 	FTH1	 	 	 	 	
Irp	group	1	 	 	0.000	6.60E-03	2.43E-02	Irp	 	1 (1)	1	 	 	 	 	EPAS1	 	 	 	 	
SLC2A1	transporter	1	 	 	0.000	6.60E-03	1.39E-02	SLC2A1	 	1 (1)	1	2-mercaptoethanol,AIMP2,APBA3,astressin 2B,ATG7,azide,Calcineurin A,CCNT1,CD38,CD46,CRHR1,CSF1,CSF2,DAG1,EPAS1,GCG,gliclazide,glimepiride,glucose oxidase,glyburide,IL3,IL5,isoprenaline,KDM8,L-dopa,methylamine,MLIP,NBR2,NOS1,NOX4,PDX1,phenformin,PI3K (family),PIK3CB,PINK1,SKP2,SLC48A1,SNED1,SRC,ST6GAL1,SYVN1,TCR,TGFB1,TRPM2,WDFY2,xanthine	8-aminoadenosine,batimastat,CDR2,CRHR2,dichloroacetic acid,EIF4EBP1,ENPP2,ethyl-3-trifluoromethylbenzyl-alpha-ketoglutarate,etoposide,firtecan pegol,HEXIM1,HIF1AN,HIF3A,indican,mir-143,pictilisib,PPP1R13L,PPP1R3C,SDHA,selumetinib,SLC2A4,SORT1,temsirolimus,topotecan,VHL	 	 	 	 	 	 	 	
ST6GAL1	enzyme	1	 	 	0.000	6.60E-03	1.85E-02	ST6GAL1	 	1 (1)	1	 	 	 	SLC2A1	 	 	 	 	 	
astressin 2B	biologic drug	1	 	 	0.000	6.60E-03	1.38E-02	astressin 2B	 	1 (1)	1	 	 	 	SLC2A1	 	 	 	 	 	
cysteamine	chemical drug	1	 	 	0.000	6.60E-03	1.43E-02	cysteamine	 	1 (1)	1	 	 	 	CA4	 	 	 	 	 	
etoposide	chemical drug	1	 	 	0.000	7.09E-03	4.29E-02	etoposide	 	2 (1)	1	 	 	 	BID,FTH1	EIF4EBP1,SLC2A1	 	 	 	 	
KDM8	enzyme	1	 	 	0.000	7.33E-03	3.13E-02	KDM8	 	1 (1)	1	 	 	 	SLC2A1	 	 	 	 	 	
topotecan	chemical drug	1	 	 	0.000	7.41E-03	2.67E-02	topotecan	 	2 (1)	1	 	 	 	 	SLC2A1	 	 	 	 	
AIMP2	other	1	 	 	0.000	8.06E-03	3.20E-02	AIMP2	 	1 (1)	1	 	 	 	SLC2A1,SLC2A4	 	 	 	 	 	
CA074-methyl ester	chemical reagent	1	 	 	0.000	8.06E-03	2.30E-02	CA074-methyl ester	 	1 (1)	1	 	 	 	 	 	 	 	 	 	
PPIA	enzyme	1	 	 	0.000	8.06E-03	3.39E-02	PPIA	 	1 (1)	1	 	 	 	 	IL5	 	 	 	 	
SORT1	G-protein coupled receptor	1	 	 	0.000	8.06E-03	2.45E-02	SORT1	 	1 (1)	1	 	 	 	SLC2A4	SLC2A1	 	 	 	 	
TAS1R3	G-protein coupled receptor	1	 	 	0.000	8.06E-03	2.04E-02	TAS1R3	 	1 (1)	1	 	 	 	EIF4EBP1	 	 	 	 	 	
ferric ammonium citrate	chemical drug	1	 	 	0.000	8.06E-03	2.16E-02	ferric ammonium citrate	 	1 (1)	1	 	 	 	FTH1	ACO1,IREB2	 	 	 	 	
teriflunomide	chemical drug	1	 	 	0.000	8.06E-03	1.95E-02	teriflunomide	 	1 (1)	1	 	 	 	 	 	 	 	 	 	
NFE2	transcription regulator	1	 	 	0.000	8.79E-03	3.12E-02	NFE2	 	1 (1)	1	BET,CSF2,IL5,PRMT1,ZAP70	 	 	KLF1	 	 	 	 	 	
DAG1	transmembrane receptor	1	 	 	0.000	9.52E-03	3.18E-02	DAG1	 	1 (1)	1	SRC,SYVN1	 	 	NOS1,SLC2A1	 	 	 	 	 	
HIF3A	transcription regulator	1	 	 	0.000	9.52E-03	3.25E-02	HIF3A	 	1 (1)	1	 	VHL	 	 	EPAS1,SLC2A1	 	 	 	 	
SMPD1	enzyme	1	 	 	0.000	9.52E-03	1.68E-02	SMPD1	 	1 (1)	1	 	CSF1	 	 	HDL-cholesterol,TGFB1	 	 	 	 	
ADP	chemical - endogenous mammalian	1	 	 	0.000	1.03E-02	2.10E-02	ADP	 	1 (1)	1	GCG	ammonium chloride,IL3	 	 	 	 	 	 	 	
BET	group	1	 	 	0.000	1.03E-02	3.45E-02	BET	 	1 (1)	1	 	 	 	KLF1,NFE2	 	 	 	 	 	
CLCN5	ion channel	1	 	 	0.000	1.03E-02	1.76E-02	CLCN5	 	1 (1)	1	 	 	 	LRP2	 	 	 	 	 	
ENPP2	enzyme	1	 	 	0.000	1.03E-02	2.20E-02	ENPP2	 	1 (1)	1	 	 	 	 	SLC2A1	 	 	 	 	
HIRA	transcription regulator	1	 	 	0.000	1.03E-02	3.32E-02	HIRA	 	1 (1)	1	 	 	 	KLF1	 	 	 	 	 	
PNN	other	1	 	 	0.000	1.03E-02	2.59E-02	PNN	 	1 (1)	1	 	 	 	 	 	 	 	 	 	
xanthine	chemical - endogenous mammalian	1	 	 	0.000	1.03E-02	3.58E-02	xanthine	 	1 (1)	1	 	 	 	SLC2A1,SRC	 	 	 	 	 	
CRHR1	G-protein coupled receptor	1	 	 	0.000	1.10E-02	3.32E-02	CRHR1	 	1 (1)	1	 	 	 	SLC2A1	 	 	 	 	 	
HEXIM1	transcription regulator	1	 	 	0.000	1.10E-02	2.48E-02	HEXIM1	 	1 (1)	1	 	TGFB1	 	 	SLC2A1	 	 	 	 	
SMAD6	transcription regulator	1	 	 	0.000	1.10E-02	3.11E-02	SMAD6	 	1 (1)	1	 	 	 	 	KLF1,SMAD2	 	 	 	 	
glyburide	chemical drug	1	 	 	0.000	1.10E-02	3.23E-02	glyburide	 	1 (1)	1	 	 	 	SLC2A1	 	 	 	 	 	
isoprenaline	chemical drug	1	 	 	0.000	1.10E-02	2.30E-02	isoprenaline	 	1 (1)	1	 	 	 	SLC2A1	SLC2A4	 	 	 	 	
pomalidomide	chemical drug	1	 	 	0.000	1.10E-02	3.92E-02	pomalidomide	 	1 (1)	1	 	 	 	 	KLF1	 	 	 	 	
selumetinib	chemical drug	1	 	 	0.000	1.10E-02	1.59E-02	selumetinib	 	1 (1)	1	 	 	 	 	SLC2A1	 	 	 	 	
Calcineurin A	group	1	 	 	0.000	1.17E-02	4.13E-02	Calcineurin A	 	1 (1)	1	 	 	 	SLC2A1,SLC2A4	 	 	 	 	 	
HIF1AN	enzyme	1	 	 	0.000	1.17E-02	3.60E-02	HIF1AN	 	1 (1)	1	 	 	 	HDL-cholesterol	SLC2A1	 	 	 	 	
batimastat	chemical - protease inhibitor	1	 	 	0.000	1.17E-02	3.84E-02	batimastat	 	1 (1)	1	 	 	 	 	SLC2A1	 	 	 	 	
KLF1	transcription regulator	1	 	 	0.000	1.24E-02	3.83E-02	KLF1	 	1 (1)	1	BET,BMPR1B,HIRA,NFE2,PRMT1	ABCB6,CSF2,pomalidomide,SMAD6	 	 	 	 	 	 	 	
BID	other	1	 	 	0.000	1.32E-02	4.06E-02	BID	 	1 (1)	1	etoposide	 	 	 	 	 	 	 	 	
FLNA	other	1	 	 	0.000	1.32E-02	4.19E-02	FLNA	 	1 (1)	1	TGFB1	FN1	 	collagen	 	 	 	 	 	
NTN1	other	1	 	 	0.000	1.32E-02	2.02E-02	NTN1	 	1 (1)	1	 	 	 	 	 	 	 	 	 	
SKP2	enzyme	1	 	 	0.000	1.32E-02	3.87E-02	SKP2	 	1 (1)	1	FN1	L-dopa,VHL	 	SLC2A1	 	 	 	 	 	
mir-143	microRNA	1	 	 	0.000	1.32E-02	4.18E-02	mir-143	 	1 (1)	1	TGFB1	IDO1	 	 	SLC2A1	 	 	 	 	
CRHR2	G-protein coupled receptor	1	 	 	0.000	1.39E-02	4.63E-02	CRHR2	 	1 (1)	1	 	 	 	 	SLC2A1	 	 	 	 	
NOS1	enzyme	1	 	 	0.000	1.39E-02	3.73E-02	NOS1	 	1 (1)	1	DAG1	N-(3-(aminomethyl)benzyl)acetamidine,nitroglycerin,SRC	 	SLC2A1	SMAD2	 	 	 	 	
BMPR1B	kinase	1	 	 	0.000	1.46E-02	4.49E-02	BMPR1B	 	1 (1)	1	 	 	 	KLF1	 	 	 	 	 	
EIF4EBP1	translation regulator	1	 	 	0.000	1.46E-02	4.41E-02	EIF4EBP1	 	1 (1)	1	ATF4,CD38,CSF1,CSF2,IL3,IL5,NOX4,TAS1R3,TGFB1	8-aminoadenosine,etoposide,GCG,HDL-cholesterol,MLIP,PINK1,temsirolimus	 	 	SLC2A1	 	 	 	 	
L-tryptophan	chemical - endogenous mammalian	1	 	 	0.000	1.46E-02	4.63E-02	L-tryptophan	 	1 (1)	1	 	TDO2	 	 	 	 	 	 	 	
PPP1R13L	transcription regulator	1	 	 	0.000	1.46E-02	4.82E-02	PPP1R13L	 	1 (1)	1	STAT4	 	 	 	SLC2A1	 	 	 	 	
PRKCI	kinase	1	 	 	0.000	1.46E-02	2.89E-02	PRKCI	 	1 (1)	1	 	VHL	 	 	BAD	 	 	 	 	
SLC2A4	transporter	1	 	 	0.000	1.46E-02	4.25E-02	SLC2A4	 	1 (1)	1	AIMP2,Calcineurin A,CSF2,GCG,glimepiride,hemin,SNED1,SORT1,WDFY2	8-aminoadenosine,dichloroacetic acid,EPAS1,HDAC5,isoprenaline,miR-133a-3p (and other miRNAs w/seed UUGGUCC),SDHA	 	 	SLC2A1,SLC2A12	 	 	 	 	
TFAM	transcription regulator	1	 	 	0.000	1.46E-02	4.74E-02	TFAM	 	1 (1)	1	PDX1	NOX4	 	 	 	 	 	 	 	
ammonium chloride	chemical drug	1	 	 	0.000	1.46E-02	3.93E-02	ammonium chloride	 	1 (1)	1	 	 	 	 	ADP	 	 	 	 	
dichloroacetic acid	chemical drug	1	 	 	0.000	1.53E-02	4.13E-02	dichloroacetic acid	 	1 (1)	1	 	 	 	BAD	IL5,SLC2A1,SLC2A4	 	 	 	 	
CARM1	transcription regulator	1	 	 	0.000	1.75E-02	4.38E-02	CARM1	 	1 (1)	1	 	 	 	FTH1	 	 	 	 	 	
CA4	enzyme	1	 	 	0.000	1.82E-02	2.43E-02	CA4	 	1 (1)	1	cysteamine,IL5	benzthiazide,chlorothiazide,chlorthalidone,methazolamide,sulfacetamide	 	 	 	 	 	 	 	
indican	chemical - endogenous mammalian	1	 	 	0.000	1.90E-02	4.38E-02	indican	 	1 (1)	1	 	 	 	NOX4	SLC2A1	 	 	 	 	
hydroxypropyl-beta-cyclodextrin	chemical drug	1	 	 	0.000	1.97E-02	3.46E-02	hydroxypropyl-beta-cyclodextrin	 	1 (1)	1	 	 	 	 	HMGCR	 	 	 	 	
NOX4	enzyme	1	 	 	0.000	2.04E-02	4.29E-02	NOX4	 	1 (1)	1	ATF4,indican,TGFB1	VHL	 	EIF4EBP1,EPAS1,FN1,SLC2A1,SRC	TFAM	 	 	 	 	
TRPM2	ion channel	1	 	 	0.000	2.04E-02	4.12E-02	TRPM2	 	1 (1)	1	 	 	 	ATG7,HDAC5,SLC2A1,VHL	EPAS1	 	 	 	 	
ELANE	peptidase	1	 	 	0.000	2.47E-02	4.81E-02	ELANE	 	1 (1)	1	 	Alpha 1 antitrypsin	 	CSF2	 	 	 	 	 	
TFEB	transcription regulator	1	 	 	0.000	2.76E-02	3.43E-02	TFEB	 	1 (1)	1	CTNS,pictilisib	 	 	 	 	 	 	 	 	
4-hydroxynonenal	chemical toxicant	1	 	 	0.000	2.97E-02	4.99E-02	4-hydroxynonenal	 	1 (1)	1	 	 	 	TGFB1	 	 	 	 	 	
TAF7L	transcription regulator	1	 	 	0.000	3.47E-02	4.95E-02	TAF7L	 	1 (1)	1	 	 	 	 	 	 	 	 	 	

Diseases and Bio Functions for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Categories	Functions	Diseases or Functions Annotation	p-Value	Predicted Activation State	Activation z-score	Notes	Bias-corrected z-score	Molecules	# Molecules	
Amino Acid Metabolism, Molecular Transport, Small Molecule Biochemistry	uptake	Uptake of L-tryptophan	2.95E-06	 	 	 	 	SLC7A5,SLC1A5	2	
Amino Acid Metabolism, Molecular Transport, Small Molecule Biochemistry	efflux	Efflux of L-amino acid	1.03E-05	 	 	 	 	SLC7A5,SLC1A5	2	
Carbohydrate Metabolism, Cellular Function and Maintenance	glycolysis	Glycolysis of leukocyte cell lines	2.69E-05	 	 	 	 	SLC2A1,HK1	2	
Cell-To-Cell Signaling and Interaction	adhesion	Adhesion of squamous cell carcinoma cell lines	6.64E-05	 	 	 	 	CTSB,BSG	2	
Amino Acid Metabolism, Molecular Transport, Small Molecule Biochemistry	transport	Transport of neutral amino acid	1.34E-04	 	 	 	 	SLC7A5,SLC1A5	2	
Carbohydrate Metabolism	glycolysis	Glycolysis of cells	1.95E-04	 	 	 	 	SLC2A1,HK1,BSG	3	
Cancer, Organismal Injury and Abnormalities	growth	Growth of tumor	2.24E-04	 	 	 	 	SLC7A5,CTSB,SLC1A5,SLC2A1,LYL1,BSG	6	
Endocrine System Disorders, Organismal Injury and Abnormalities	benign thyroid nodule	Benign thyroid nodule	3.59E-04	 	 	 	 	FTL,CTSB	2	
Cellular Movement	invasion	Invasion of sarcoma cell lines	5.67E-04	 	 	 	 	CTSB,SLC2A1	2	
Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Hematological System Development and Function, Hematopoiesis, Organismal Development, Tissue Development	differentiation	Arrest in differentiation of erythroid cells	7.24E-04	 	 	 	 	LYL1	1	
Infectious Diseases	attachment	Attachment of hepatitis B virus	7.24E-04	 	 	 	 	FTL	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Organismal Injury and Abnormalities	autosomal dominant L-ferritin deficiency	Autosomal dominant L-ferritin deficiency	7.24E-04	 	 	 	 	FTL	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Neurological Disease, Organismal Injury and Abnormalities	autosomal recessive GLUT1 deficiency syndrome type 1	Autosomal recessive GLUT1 deficiency syndrome type 1	7.24E-04	 	 	 	 	SLC2A1	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Organismal Injury and Abnormalities	autosomal recessive L-ferritin deficiency	Autosomal recessive L-ferritin deficiency	7.24E-04	 	 	 	 	FTL	1	
Connective Tissue Disorders, Hematological Disease, Organismal Injury and Abnormalities	borderline hemoglobin A2	Borderline hemoglobin A2	7.24E-04	 	 	 	 	KLF1	1	
Cell Death and Survival	cell death	Cell death of type 1 macrophages	7.24E-04	 	 	 	 	CTSB	1	
Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	Charcot-Marie-Tooth disease type 4G	Charcot-Marie-Tooth disease type 4G	7.24E-04	 	 	 	 	HK1	1	
Cardiovascular Disease, Developmental Disorder, Hematological Disease, Hereditary Disorder, Organismal Injury and Abnormalities	dyserythropoietic congenital anemia type IV	Dyserythropoietic congenital anemia type IV	7.24E-04	 	 	 	 	KLF1	1	
Amino Acid Metabolism, Molecular Transport, Small Molecule Biochemistry	efflux	Efflux of L-lysine	7.24E-04	 	 	 	 	SLC7A5	1	
Carbohydrate Metabolism, Molecular Transport, Small Molecule Biochemistry	efflux	Efflux of lactic acid	7.24E-04	 	 	 	 	BSG	1	
Cellular Compromise, Hematological System Development and Function	enucleation	Enucleation of orthochromic normoblasts	7.24E-04	 	 	 	 	KLF1	1	
Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities, Psychological Disorders	episodic choreoathetosis/spasticity	Episodic choreoathetosis/spasticity	7.24E-04	 	 	 	 	SLC2A1	1	
Lipid Metabolism, Small Molecule Biochemistry	extraction	Extraction of cholesterol	7.24E-04	 	 	 	 	OSBP2	1	
Cellular Assembly and Organization, Cellular Compromise	formation	Formation of ferritin inclusion body	7.24E-04	 	 	 	 	FTL	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Neurological Disease, Organismal Injury and Abnormalities	glut1 deficiency syndrome type 2	Glut1 deficiency syndrome type 2	7.24E-04	 	 	 	 	SLC2A1	1	
Infectious Diseases, Organismal Development	growth	Growth of Reoviridae	7.24E-04	 	 	 	 	CTSB	1	
Cellular Function and Maintenance, Cellular Growth and Proliferation, Hematological System Development and Function	hemoglobinization	Hemoglobinization of erythroid cell lines	7.24E-04	 	 	 	 	KLF1	1	
Developmental Disorder, Hematological Disease, Hereditary Disorder, Ophthalmic Disease, Organismal Injury and Abnormalities	hereditary hyperferritinemia cataract syndrome	Hereditary hyperferritinemia cataract syndrome	7.24E-04	 	 	 	 	FTL	1	
Hematological Disease, Hereditary Disorder, Organismal Injury and Abnormalities	KLF1-related hereditary persistence of fetal hemoglobin	KLF1-related hereditary persistence of fetal hemoglobin	7.24E-04	 	 	 	 	KLF1	1	
Cell Death and Survival, Endocrine System Disorders, Gastrointestinal Disease, Organismal Injury and Abnormalities	necrosis	Necrosis of pancreatic acinus	7.24E-04	 	 	 	 	CTSB	1	
Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities, Psychological Disorders	neurodegeneration with brain iron accumulation 3	Neurodegeneration with brain iron accumulation 3	7.24E-04	 	 	 	 	FTL	1	
Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities, Respiratory Disease	neutrophilia	Neutrophilia of lung tissue	7.24E-04	 	 	 	 	BSG	1	
Cardiovascular Disease, Cell Death and Survival, Connective Tissue Disorders, Developmental Disorder, Hematological Disease, Hereditary Disorder, Metabolic Disease, Organismal Injury and Abnormalities	nonspherocytic hemolytic anemia due to hexokinase deficiency	Nonspherocytic hemolytic anemia due to hexokinase deficiency	7.24E-04	 	 	 	 	HK1	1	
Cellular Assembly and Organization, Cellular Function and Maintenance	quantity	Quantity of actin-rich protrusion	7.24E-04	 	 	 	 	BSG	1	
Cancer, Cellular Development, Cellular Growth and Proliferation, Organismal Injury and Abnormalities, Tissue Morphology, Tumor Morphology	quantity	Quantity of non-small-cell lung cancer cells	7.24E-04	 	 	 	 	CTSB	1	
Cell Death and Survival, Hematological System Development and Function, Hematopoiesis	repopulation	Repopulation of erythroid cells	7.24E-04	 	 	 	 	LYL1	1	
Hereditary Disorder, Ophthalmic Disease, Organismal Injury and Abnormalities	retinitis pigmentosa type 79	Retinitis pigmentosa type 79	7.24E-04	 	 	 	 	HK1	1	
Cardiovascular Disease, Developmental Disorder, Hematological Disease, Hereditary Disorder, Metabolic Disease, Neurological Disease, Organismal Injury and Abnormalities	stomatin-deficient cryohydrocytosis	Stomatin-deficient cryohydrocytosis	7.24E-04	 	 	 	 	SLC2A1	1	
Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities	susceptibility to idiopathic generalized epilepsy type 12	Susceptibility to idiopathic generalized epilepsy type 12	7.24E-04	 	 	 	 	SLC2A1	1	
Amino Acid Metabolism, Molecular Transport, Small Molecule Biochemistry	transport	Transport of leucine	7.24E-04	 	 	 	 	SLC7A5	1	
Inflammatory Response	inflammatory response	Inflammatory response of cells	7.94E-04	 	 	 	 	CTSB,SLC1A5	2	
Molecular Transport	transport	Transport of molecule	9.47E-04	 	 	 	 	SLC7A5,FTL,RILP,SLC1A5,SLC2A1,HK1,BSG	7	
Cellular Development, Cellular Growth and Proliferation	cell proliferation	Cell proliferation of cervical cancer cell lines	1.08E-03	 	 	 	 	FTL,OSBP2,BSG	3	
Cellular Movement	invasion	Invasion of squamous cell carcinoma cell lines	1.15E-03	 	 	 	 	CTSB,BSG	2	
Hematological Disease, Immunological Disease, Infectious Diseases	infection	Infection of leukocytes	1.19E-03	 	 	 	 	CTSB,SLC2A1	2	
Infectious Diseases	entrance	Entrance of virus	1.39E-03	 	 	 	 	CTSB,BSG	2	
Post-Translational Modification	activation	Activation of glycoprotein	1.45E-03	 	 	 	 	CTSB	1	
Cancer, Endocrine System Disorders, Gastrointestinal Disease, Organismal Injury and Abnormalities	angiogenesis	Angiogenesis of pancreatic endocrine tumor	1.45E-03	 	 	 	 	CTSB	1	
Drug Metabolism	cleavage	Cleavage of coumarin	1.45E-03	 	 	 	 	CTSB	1	
Cellular Development	dedifferentiation	Dedifferentiation of hepatoma cell lines	1.45E-03	 	 	 	 	BSG	1	
Cellular Development	differentiation	Delay in initiation of differentiation of lung cell lines	1.45E-03	 	 	 	 	CTSB	1	
Cardiovascular System Development and Function	development	Development of microvasculature	1.45E-03	 	 	 	 	CTSB	1	
Amino Acid Metabolism, Molecular Transport, Small Molecule Biochemistry	efflux	Efflux of L-aspartic acid	1.45E-03	 	 	 	 	SLC1A5	1	
Cellular Compromise	injury	Injury of mitochondrial membrane	1.45E-03	 	 	 	 	HK1	1	
Cellular Movement	migration	Migration of glioblastoma cells	1.45E-03	 	 	 	 	CTSB	1	
Cardiovascular System Development and Function, Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Digestive System Development and Function, Hepatic System Development and Function, Organ Development, Organismal Development, Skeletal and Muscular System Development and Function, Tissue Development	proliferation	Proliferation of hepatic stellate cells/myofibroblasts	1.45E-03	 	 	 	 	CTSB	1	
Cancer, Cellular Development, Cellular Growth and Proliferation, Endocrine System Disorders, Gastrointestinal Disease, Organismal Injury and Abnormalities, Tumor Morphology	proliferation	Proliferation of pancreatic endocrine tumor	1.45E-03	 	 	 	 	CTSB	1	
Carbohydrate Metabolism	quantity	Quantity of ribose	1.45E-03	 	 	 	 	SLC2A1	1	
Cellular Development, Cellular Growth and Proliferation	growth	Re-entry into growth of leukemia cell lines	1.45E-03	 	 	 	 	FTL	1	
Cardiovascular Disease, Organismal Injury and Abnormalities	sporadic abdominal aortic aneurysm	Sporadic abdominal aortic aneurysm	1.45E-03	 	 	 	 	FTL	1	
Immunological Disease, Inflammatory Disease, Inflammatory Response, Neurological Disease, Organismal Injury and Abnormalities	experimental autoimmune encephalomyelitis	Symptomatic experimental autoimmune encephalomyelitis	1.45E-03	 	 	 	 	BSG	1	
Carbohydrate Metabolism, Cellular Function and Maintenance, Molecular Transport, Small Molecule Biochemistry	transmembrane transport	Transmembrane transport of D-glucose	1.45E-03	 	 	 	 	HK1	1	
Amino Acid Metabolism, Drug Metabolism, Molecular Transport, Small Molecule Biochemistry	transport	Transport of L-dopa	1.45E-03	 	 	 	 	SLC7A5	1	
Carbohydrate Metabolism, Molecular Transport, Small Molecule Biochemistry	transport	Transport of mannose	1.45E-03	 	 	 	 	SLC2A1	1	
Amino Acid Metabolism, Molecular Transport, Small Molecule Biochemistry	uptake	Uptake of L-leucine	1.45E-03	 	 	 	 	SLC7A5	1	
Amino Acid Metabolism, Molecular Transport, Small Molecule Biochemistry	uptake	Uptake of L-tyrosine	1.45E-03	 	 	 	 	SLC7A5	1	
Cancer, Gastrointestinal Disease, Hepatic System Disease, Organismal Injury and Abnormalities	cancer	Liver cancer	1.46E-03	 	 	 	 	SLC7A5,FTL,FAM104A,TMCC2,CTSB,SLC1A5,SPECC1,SLC2A1,HK1,KEL,BSG	11	
Cellular Development, Cellular Growth and Proliferation	cell proliferation	Cell proliferation of tumor cell lines	1.48E-03	 	 	 	 	SLC7A5,FTL,CTSB,SLC2A1,HK1,OSBP2,BSG	7	
Cellular Movement	migration	Migration of squamous cell carcinoma cell lines	1.58E-03	 	 	 	 	CTSB,BSG	2	
Cardiovascular Disease, Developmental Disorder, Hematological Disease, Organismal Injury and Abnormalities	congenital anemia	Congenital anemia	1.77E-03	 	 	 	 	HK1,KLF1	2	
Cellular Compromise, Reproductive System Development and Function	acidification	Acidification of gonadal cell lines	2.17E-03	 	 	 	 	SLC7A5	1	
Cancer, Cellular Development, Cellular Growth and Proliferation, Organismal Injury and Abnormalities, Tumor Morphology	colony formation	Colony formation of leukemia stem cells	2.17E-03	 	 	 	 	CTSB	1	
